"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ABCB1.10",0.606990266337269,-0.350276454848545,0.585,0.498,1,"17","ABCB1"
"EHF.10",0.615939185896801,-0.00829784671013122,0.156,0.227,1,"17","EHF"
"NRIP1.10",0.623768499787788,-0.220701905067485,0.729,0.654,1,"17","NRIP1"
"SLC1A3.10",0.629708779052689,-0.661468625076076,0.726,0.562,1,"17","SLC1A3"
"PALMD.10",0.654653858074559,-0.891287398294239,0.684,0.657,1,"17","PALMD"
"ACSL1.10",0.661955153460355,-1.43172332280773,0.783,0.612,1,"17","ACSL1"
"DCSTAMP.10",0.663896404564161,-0.0073176084297258,0.01,0.107,1,"17","DCSTAMP"
"RHOBTB3.10",0.673831450142734,-0.405612671716357,0.63,0.597,1,"17","RHOBTB3"
"GNA14-AS1.10",0.679874391030533,-0.234539996506383,0.167,0.285,1,"17","GNA14-AS1"
"GRIN2B.10",0.680595645032571,-0.158167136175561,0.594,0.574,1,"17","GRIN2B"
"ITGA8.10",0.69209811247403,-0.147926625077093,0.507,0.505,1,"17","ITGA8"
"NOVA1.10",0.694773196563761,-0.363276293589015,0.646,0.676,1,"17","NOVA1"
"RPL34.10",0.696477662191658,-0.285284251659335,0.634,0.641,1,"17","RPL34"
"NDST3.10",0.699795064994878,-0.0441478787899775,0.069,0.246,1,"17","NDST3"
"AL031599.1.10",0.700175424315023,-0.0466844782291416,0.273,0.344,1,"17","AL031599.1"
"CD9.10",0.708876931533418,-0.173516947140765,0.566,0.575,1,"17","CD9"
"AC067956.1.10",0.716924342830364,-0.0591228551110174,0.306,0.32,1,"17","AC067956.1"
