Process name,Associated cell type,Associated cell type,Associated cell types,Associated cell types
positive regulation of macrophage apoptotic process,macrophage,,,
macrophage chemotaxis,macrophage,,,
negative regulation of macrophage apoptotic process,macrophage,,,
macrophage fusion,macrophage,,,
regulation of macrophage migration,macrophage,,,
positive regulation of macrophage differentiation,macrophage,,,
positive regulation of macrophage chemotaxis,macrophage,,,
cellular response to macrophage colony-stimulating factor stimulus,macrophage,,,
positive regulation of macrophage tolerance induction,macrophage,,,
macrophage activation involved in immune response,macrophage,,,
positive regulation of macrophage inflammatory protein 1 alpha production,macrophage,,,
positive regulation of macrophage migration,macrophage,,,
negative regulation of macrophage inflammatory protein 1 alpha production,macrophage,,,
positive regulation of macrophage cytokine production,macrophage,,,
macrophage activation,macrophage,,,
negative regulation of macrophage differentiation,macrophage,,,
negative regulation of macrophage colony-stimulating factor signaling pathway,macrophage,,,
negative regulation of macrophage migration,macrophage,,,
positive regulation of macrophage fusion,macrophage,,,
macrophage apoptotic process,macrophage,,,
macrophage colony-stimulating factor signaling pathway,macrophage,,,
positive regulation of macrophage migration inhibitory factor signaling pathway,macrophage,,,
positive regulation of immune complex clearance by monocytes and macrophages,macrophage,monocyte,,
macrophage migration,macrophage,,,
regulation of macrophage chemotaxis,macrophage,,,
macrophage homeostasis,macrophage,,,
regulation of macrophage colony-stimulating factor production,macrophage,,,
positive regulation of cellular response to macrophage colony-stimulating factor stimulus,macrophage,,,
positive regulation of macrophage colony-stimulating factor production,macrophage,,,
macrophage migration inhibitory factor signaling pathway,macrophage,,,
regulation of macrophage inflammatory protein 1 alpha production,macrophage,,,
regulation of macrophage apoptotic process,macrophage,,,
negative regulation of macrophage antigen processing and presentation,macrophage,,,
regulation of macrophage migration inhibitory factor signaling pathway,macrophage,,,
negative regulation of macrophage proliferation,macrophage,,,
regulation of macrophage differentiation,macrophage,,,
regulation of macrophage derived foam cell differentiation,macrophage,,,
positive regulation of macrophage colony-stimulating factor signaling pathway,macrophage,,,
mast cell activation,mast ,,,
mast cell degranulation,mast ,,,
negative regulation of mast cell degranulation,mast ,,,
negative regulation of mast cell activation,mast ,,,
positive regulation of mast cell cytokine production,mast ,,,
negative regulation of mast cell apoptotic process,mast ,,,
positive regulation of mast cell degranulation,mast ,,,
mast cell secretory granule organization,mast ,,,
mast cell differentiation,mast ,,,
maintenance of protease location in mast cell secretory granule,mast ,,,
positive regulation of mast cell chemotaxis,mast ,,,
regulation of mast cell degranulation,mast ,,,
positive regulation of mast cell proliferation,mast ,,,
mast cell chemotaxis,mast ,,,
mast cell cytokine production,mast ,,,
histamine secretion by mast cell,mast ,,,
negative regulation of mast cell differentiation,mast ,,,
posterior lateral line neuromast hair cell development,mast ,,,
mast cell migration,mast ,,,
negative regulation of mast cell activation involved in immune response,mast ,,,
positive regulation of mast cell activation,mast ,,,
positive regulation of mast cell activation involved in immune response,mast ,,,
regulation of mast cell apoptotic process,mast ,,,
positive regulation of histamine secretion by mast cell,mast ,,,
positive regulation of mast cell differentiation,mast ,,,
negative regulation of mast cell cytokine production,mast ,,,
regulation of mast cell chemotaxis,mast ,,,
regulation of mast cell activation,mast ,,,
mast cell mediated immunity,mast ,,,
mast cell proliferation,mast ,,,
neuromast hair cell development,mast ,,,
negative regulation of mast cell proliferation,mast ,,,
positive regulation of mast cell activation by fc-epsilon receptor signaling pathway,mast ,,,
regulation of mast cell differentiation,mast ,,,
regulation of megakaryocyte differentiation,megakaryocyte,,,
negative regulation of megakaryocyte differentiation,megakaryocyte,,,
positive regulation of megakaryocyte differentiation,megakaryocyte,,,
megakaryocyte development,megakaryocyte,,,
megakaryocyte differentiation,megakaryocyte,,,
melanocyte differentiation,melanocyte,,,
melanocyte proliferation,melanocyte,,,
positive regulation of melanocyte differentiation,melanocyte,,,
regulation of melanocyte differentiation,melanocyte,,,
melanocyte migration,melanocyte,,,
melanocyte apoptotic process,melanocyte,,,
melanocyte adhesion,melanocyte,,,
positive regulation of glomerular mesangial cell proliferation,mesangial ,,,
mesangial cell-matrix adhesion,mesangial ,,,
metanephric glomerular mesangial cell differentiation,mesangial ,metanephric ,,
glomerular mesangial cell development,mesangial ,,,
negative regulation of metanephric glomerular mesangial cell proliferation,mesangial ,metanephric ,,
negative regulation of glomerular mesangial cell proliferation,mesangial ,,,
mesangial cell development,mesangial ,,,
metanephric glomerular mesangial cell development,mesangial ,metanephric ,,
glomerular mesangial cell proliferation,mesangial ,,,
positive regulation of glomerular metanephric mesangial cell proliferation,mesangial ,metanephric ,,
metanephric glomerular mesangial cell proliferation involved in metanephros development,mesangial ,metanephric ,,
negative regulation of mesenchymal cell proliferation,mesenchymal,,,
positive regulation of mesenchymal cell proliferation,mesenchymal,,,
negative regulation of mesenchymal stem cell proliferation,mesenchymal,mesenchymal stem ,stem cell,
regulation of mesenchymal cell proliferation,mesenchymal,,,
metanephric mesenchymal cell differentiation,mesenchymal,metanephric ,,
negative regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis,mesenchymal,metanephric ,,
negative regulation of mesenchymal cell apoptotic process involved in metanephros development,mesenchymal,,,
mesenchymal cell differentiation,mesenchymal,,,
mesenchymal cell differentiation involved in lung development,mesenchymal,,,
mesenchymal cell proliferation involved in lung development,mesenchymal,,,
condensed mesenchymal cell proliferation,mesenchymal,,,
positive regulation of mesenchymal stem cell differentiation,mesenchymal,mesenchymal stem ,stem cell,
positive regulation of mesenchymal stem cell proliferation,mesenchymal,mesenchymal stem ,stem cell,
mesenchymal cell proliferation,mesenchymal,,,
mesenchymal cell apoptotic process,mesenchymal,,,
mesenchymal cell development,mesenchymal,,,
mesenchymal cell proliferation involved in ureteric bud development,mesenchymal,ureteric bud ,,
mesenchymal cell differentiation involved in kidney development,mesenchymal,,,
mesenchymal cell proliferation involved in ureter development,mesenchymal,,,
negative regulation of mesenchymal cell proliferation involved in ureter development,mesenchymal,,,
positive regulation of mesenchymal cell proliferation involved in ureter development,mesenchymal,,,
negative regulation of mesenchymal cell apoptotic process,mesenchymal,,,
negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis,mesenchymal,,,
canonical wnt signaling pathway involved in mesenchymal stem cell differentiation,mesenchymal,mesenchymal stem ,stem cell,
mesenchymal stem cell maintenance involved in nephron morphogenesis,mesenchymal,mesenchymal stem ,stem cell,
metanephric cap mesenchymal cell proliferation involved in metanephros development,mesenchymal,metanephric ,,
mesenchymal stem cell proliferation,mesenchymal,mesenchymal stem ,stem cell,
positive regulation of mesenchymal stem cell migration,mesenchymal,mesenchymal stem ,stem cell,
metanephric mesenchymal cell proliferation involved in metanephros development,mesenchymal,metanephric ,,
negative regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis,mesenchymal,,,
positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway,mesenchymal,metanephric ,platelet,
positive regulation of metanephric mesenchymal cell migration,mesenchymal,metanephric ,,
mesodermal to mesenchymal transition involved in gastrulation,mesenchymal,mesodermal ,,
negative regulation of metanephric mesenchymal cell migration,mesenchymal,metanephric ,,
positive regulation of mesenchymal cell apoptotic process,mesenchymal,,,
regulation of mesenchymal stem cell differentiation,mesenchymal,mesenchymal stem ,stem cell,
negative regulation of mesenchymal stem cell differentiation,mesenchymal,mesenchymal stem ,stem cell,
metanephric mesenchymal cell migration,mesenchymal,metanephric ,,
negative regulation of mesenchymal cell proliferation involved in lung development,mesenchymal,,,
regulation of mesenchymal cell proliferation involved in prostate gland development,mesenchymal,,,
mesenchymal smoothened signaling pathway involved in prostate gland development,mesenchymal,,,
positive regulation of metanephric cap mesenchymal cell proliferation,mesenchymal,metanephric ,,
positive regulation of mesodermal cell fate specification,mesodermal ,,,
paraxial mesodermal cell fate commitment,mesodermal ,,,
mesodermal cell differentiation,mesodermal ,,,
negative regulation of mesodermal cell fate specification,mesodermal ,,,
axial mesodermal cell fate specification,mesodermal ,,,
regulation of lateral mesodermal cell fate specification,mesodermal ,,,
mesodermal cell fate specification,mesodermal ,,,
mesodermal cell migration,mesodermal ,,,
positive regulation of mesodermal cell differentiation,mesodermal ,,,
mesodermal cell fate determination,mesodermal ,,,
intermediate mesodermal cell differentiation,mesodermal ,,,
lateral mesodermal cell differentiation,mesodermal ,,,
bmp signaling pathway involved in mesodermal cell fate specification,mesodermal ,,,
mesodermal cell fate commitment,mesodermal ,,,
canonical wnt signaling pathway involved in metanephric kidney development,metanephric ,,,
positive regulation of metanephric glomerulus development,metanephric ,,,
metanephric mesenchyme development,metanephric ,,,
metanephric epithelium development,metanephric ,,,
metanephric nephron tubule formation,metanephric ,,,
metanephric distal convoluted tubule development,metanephric ,,,
negative regulation of apoptotic process involved in metanephric nephron tubule development,metanephric ,,,
positive regulation of metanephric dct cell differentiation,metanephric ,,,
metanephric glomerulus development,metanephric ,,,
metanephric nephron tubule morphogenesis,metanephric ,,,
metanephric s-shaped body morphogenesis,metanephric ,,,
positive regulation of metanephric ureteric bud development,metanephric ,ureteric bud ,,
metanephric proximal convoluted tubule development,metanephric ,,,
negative regulation of metanephric s-shaped body morphogenesis,metanephric ,,,
negative regulation of metanephric comma-shaped body morphogenesis,metanephric ,,,
metanephric ascending thin limb development,metanephric ,,,
metanephric proximal tubule development,metanephric ,,,
metanephric distal tubule morphogenesis,metanephric ,,,
metanephric thick ascending limb development,metanephric ,,,
metanephric part of ureteric bud development,metanephric ,ureteric bud ,,
metanephric comma-shaped body morphogenesis,metanephric ,,,
metanephric tubule development,metanephric ,,,
metanephric tubule formation,metanephric ,,,
metanephric mesenchyme morphogenesis,metanephric ,,,
metanephric smooth muscle tissue development,metanephric ,smooth muscle ,,
metanephric nephron tubule development,metanephric ,,,
metanephric glomerulus vasculature development,metanephric ,,,
metanephric macula densa development,metanephric ,,,
metanephric loop of henle development,metanephric ,,,
metanephric dct cell differentiation,metanephric ,,,
metanephric tubule morphogenesis,metanephric ,,,
metanephric glomerular basement membrane development,metanephric ,,,
metanephric glomerular capillary formation,metanephric ,,,
metanephric cortex development,metanephric ,,,
metanephric distal tubule development,metanephric ,,,
proximal/distal pattern formation involved in metanephric nephron development,metanephric ,,,
metanephric nephron development,metanephric ,,,
metanephric capsule development,metanephric ,,,
metanephric capsule specification,metanephric ,,,
metanephric glomerular mesangium development,metanephric ,,,
metanephric glomerulus morphogenesis,metanephric ,,,
metanephric connecting tubule development,metanephric ,,,
metanephric nephron morphogenesis,metanephric ,,,
positive regulation of microglia differentiation,microglia,,,
microglia development,microglia,,,
monocyte chemotaxis,monocyte,,,
positive regulation of monocyte chemotaxis,monocyte,,,
monocyte differentiation,monocyte,,,
negative regulation of monocyte differentiation,monocyte,,,
negative regulation of monocyte chemotaxis,monocyte,,,
regulation of monocyte differentiation,monocyte,,,
monocyte aggregation,monocyte,,,
positive regulation of monocyte aggregation,monocyte,,,
negative regulation of monocyte chemotactic protein-1 production,monocyte,,,
positive regulation of monocyte extravasation,monocyte,,,
monocyte extravasation,monocyte,,,
positive regulation of monocyte differentiation,monocyte,,,
positive regulation of monocyte chemotactic protein-1 production,monocyte,,,
monocyte homeostasis,monocyte,,,
monocyte activation,monocyte,,,
negative regulation of monocyte activation,monocyte,,,
monocyte activation involved in immune response,monocyte,,,
negative regulation of monocyte extravasation,monocyte,,,
regulation of monocyte chemotaxis,monocyte,,,
myeloid cell differentiation,myeloid ,,,
myeloid cell homeostasis,myeloid ,,,
negative regulation of myeloid cell differentiation,myeloid ,,,
common myeloid progenitor cell proliferation,myeloid ,,,
regulation of myeloid cell apoptotic process,myeloid ,,,
myeloid leukocyte differentiation,myeloid ,,,
negative regulation of myeloid progenitor cell differentiation,myeloid ,,,
myeloid progenitor cell differentiation,myeloid ,,,
regulation of myeloid cell differentiation,myeloid ,,,
positive regulation of myeloid leukocyte differentiation,myeloid ,,,
positive regulation of myeloid cell differentiation,myeloid ,,,
myeloid cell apoptotic process,myeloid ,,,
myeloid cell development,myeloid ,,,
negative regulation of myeloid leukocyte differentiation,myeloid ,,,
negative regulation of myeloid cell apoptotic process,myeloid ,,,
myeloid leukocyte activation,myeloid ,,,
positive regulation of myeloid leukocyte cytokine production involved in immune response,myeloid ,,,
positive regulation of myeloid cell apoptotic process,myeloid ,,,
regulation of myeloid leukocyte differentiation,myeloid ,,,
myoblast fusion,myoblast,,,
myoblast migration,myoblast,,,
positive regulation of myoblast fusion,myoblast,,,
positive regulation of myoblast differentiation,myoblast,,,
myoblast differentiation,myoblast,,,
regulation of myoblast fusion,myoblast,,,
negative regulation of myoblast differentiation,myoblast,,,
regulation of myoblast proliferation,myoblast,,,
myoblast fate commitment,myoblast,,,
myoblast fusion involved in skeletal muscle regeneration,myoblast,skeletal muscle ,,
myoblast fate determination,myoblast,,,
negative regulation of myoblast proliferation,myoblast,,,
positive regulation of myoblast proliferation,myoblast,,,
myoblast differentiation involved in skeletal muscle regeneration,myoblast,skeletal muscle ,,
myoblast proliferation,myoblast,,,
regulation of myoblast differentiation,myoblast,,,
myoblast development,myoblast,,,
myoblast migration involved in skeletal muscle regeneration,myoblast,skeletal muscle ,,
negative regulation of myoblast fusion,myoblast,,,
positive regulation of natural killer cell mediated cytotoxicity,natural killer,,,
positive regulation of natural killer cell cytokine production,natural killer,,,
positive regulation of natural killer cell mediated immune response to tumor cell,natural killer,,,
establishment of natural killer cell polarity,natural killer,,,
negative regulation of natural killer cell differentiation involved in immune response,natural killer,,,
natural killer cell activation,natural killer,,,
natural killer cell mediated cytotoxicity,natural killer,,,
natural killer cell activation involved in immune response,natural killer,,,
positive regulation of natural killer cell mediated immunity,natural killer,,,
mature natural killer cell chemotaxis,natural killer,,,
positive regulation of natural killer cell chemotaxis,natural killer,,,
natural killer cell differentiation,natural killer,,,
positive regulation of natural killer cell proliferation,natural killer,,,
susceptibility to natural killer cell mediated cytotoxicity,natural killer,,,
positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target,natural killer,,,
natural killer cell degranulation,natural killer,,,
negative regulation of natural killer cell mediated cytotoxicity,natural killer,,,
natural killer cell inhibitory signaling pathway,natural killer,,,
natural killer cell mediated immunity,natural killer,,,
negative regulation of natural killer cell chemotaxis,natural killer,,,
positive regulation of natural killer cell activation,natural killer,,,
negative regulation of natural killer cell activation,natural killer,,,
positive regulation of natural killer cell degranulation,natural killer,,,
positive regulation of natural killer cell differentiation,natural killer,,,
regulation of natural killer cell mediated cytotoxicity,natural killer,,,
natural killer cell tolerance induction,natural killer,,,
protection from natural killer cell mediated cytotoxicity,natural killer,,,
regulation of natural killer cell activation,natural killer,,,
negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target,natural killer,,,
regulation of natural killer cell apoptotic process,natural killer,,,
negative regulation of natural killer cell cytokine production,natural killer,,,
negative regulation of natural killer cell degranulation,natural killer,,,
regulation of natural killer cell mediated immunity,natural killer,,,
regulation of natural killer cell differentiation,natural killer,,,
natural killer cell chemotaxis,natural killer,,,
regulation of natural killer cell proliferation,natural killer,,,
natural killer cell proliferation,natural killer,,,
regulation of natural killer cell differentiation involved in immune response,natural killer,,,
neural crest cell migration,neural crest ,,,
neural crest formation,neural crest ,,,
neural crest cell development,neural crest ,,,
ventral trunk neural crest cell migration,neural crest ,,,
neural crest cell migration involved in autonomic nervous system development,neural crest ,,,
neural crest cell migration involved in heart formation,neural crest ,,,
cardiac neural crest cell migration involved in outflow tract morphogenesis,neural crest ,,,
neural crest cell differentiation,neural crest ,,,
canonical wnt signaling pathway involved in neural crest cell differentiation,neural crest ,,,
positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis,neural crest ,,,
neural crest cell fate specification,neural crest ,,,
cardiac neural crest cell development involved in heart development,neural crest ,,,
negative regulation of neural crest formation,neural crest ,,,
cardiac neural crest cell development involved in outflow tract morphogenesis,neural crest ,,,
neural crest cell fate commitment,neural crest ,,,
neural crest cell migration involved in sympathetic nervous system development,neural crest ,,,
asymmetric neuroblast division,neuroblast,,,
positive regulation of neuroblast proliferation,neuroblast,,,
forebrain neuroblast division,neuroblast,,,
wnt signaling pathway involved in forebrain neuroblast division,neuroblast,,,
negative regulation of neuroblast proliferation,neuroblast,,,
ventricular zone neuroblast division,neuroblast,,,
negative regulation of neuroblast migration,neuroblast,,,
neuroblast proliferation,neuroblast,,,
regulation of neuroblast proliferation,neuroblast,,,
neuroblast fate determination,neuroblast,,,
neuroblast division in subventricular zone,neuroblast,,,
establishment of neuroblast polarity,neuroblast,,,
neuroblast differentiation,neuroblast,,,
neuroblast migration,neuroblast,,,
neuroblast delamination,neuroblast,,,
neuroendocrine cell differentiation,neuroendocrine ,,,
lung neuroendocrine cell differentiation,neuroendocrine ,,,
stomach neuroendocrine cell differentiation,neuroendocrine ,,,
negative regulation of stomach neuroendocrine cell differentiation,neuroendocrine ,,,
positive regulation of neuron migration,neuron,,,
positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,neuron,,,
positive regulation of neuron projection development,neuron,,,
neuron projection development,neuron,,,
negative regulation of neuron projection development,neuron,,,
central nervous system projection neuron axonogenesis,neuron,,,
central nervous system neuron axonogenesis,neuron,,,
regulation of neuron differentiation,neuron,,,
neuron differentiation,neuron,,,
neuron migration,neuron,,,
negative regulation of neuron death,neuron,,,
positive regulation of neuronal action potential,neuron,,,
positive regulation of neuron differentiation,neuron,,,
negative regulation of neuron apoptotic process,neuron,,,
regulation of long-term neuronal synaptic plasticity,neuron,,,
neuron apoptotic process,neuron,,,
neuron death,neuron,,,
dopaminergic neuron axon guidance,neuron,,,
serotonergic neuron axon guidance,neuron,,,
positive regulation of neuron death,neuron,,,
negative regulation of neuron differentiation,neuron,,,
neuron development,neuron,,,
midbrain dopaminergic neuron differentiation,neuron,,,
dopaminergic neuron differentiation,neuron,,,
central nervous system neuron differentiation,neuron,,,
spinal cord motor neuron differentiation,neuron,,,
neuron fate determination,neuron,,,
regulation of neuron projection regeneration,neuron,,,
neuronal stem cell population maintenance,neuron,stem cell,,
positive regulation of neuron apoptotic process,neuron,,,
negative regulation of neuron migration,neuron,,,
neuron projection extension,neuron,,,
neuron cell-cell adhesion,neuron,,,
motor neuron axon guidance,neuron,,,
medial motor column neuron differentiation,neuron,,,
dorsal spinal cord interneuron anterior axon guidance,neuron,,,
regulation of neuron apoptotic process,neuron,,,
central nervous system neuron development,neuron,,,
cerebral cortex gabaergic interneuron migration,neuron,,,
regulation of neuronal synaptic plasticity,neuron,,,
regulation of neuron death,neuron,,,
neuron projection morphogenesis,neuron,,,
negative regulation of hydrogen peroxide-induced neuron death,neuron,,,
positive regulation of forebrain neuron differentiation,neuron,,,
generation of neurons,neuron,,,
regulation of neuron projection development,neuron,,,
regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,neuron,,,
wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,neuron,,,
spinal cord association neuron differentiation,neuron,,,
negative regulation of dopaminergic neuron differentiation,neuron,,,
pyramidal neuron migration,neuron,,,
neuron fate commitment,neuron,,,
anterograde neuronal dense core vesicle transport,neuron,,,
retrograde neuronal dense core vesicle transport,neuron,,,
branchiomotor neuron axon guidance,neuron,,,
gonadotrophin-releasing hormone neuronal migration to the hypothalamus,neuron,,,
commissural neuron axon guidance,neuron,,,
sensory neuron axon guidance,neuron,,,
motor neuron migration,neuron,,,
sympathetic neuron projection extension,neuron,,,
sympathetic neuron projection guidance,neuron,,,
semaphorin-plexin signaling pathway involved in neuron projection guidance,neuron,,,
positive regulation of neuron maturation,neuron,,,
neuron maturation,neuron,,,
positive regulation of midbrain dopaminergic neuron differentiation,neuron,,,
regulation of dopaminergic neuron differentiation,neuron,,,
neuronal action potential,neuron,,,
chemorepulsion involved in interneuron migration from the subpallium to the cortex,neuron,,,
neuron-neuron synaptic transmission,neuron,,,
motor neuron apoptotic process,neuron,,,
regulation of neuron migration,neuron,,,
regulation of transcription from rna polymerase ii promoter involved in spinal cord association neuron specification,neuron,,,
forebrain neuron development,neuron,,,
smoothened signaling pathway involved in ventral spinal cord interneuron specification,neuron,,,
smoothened signaling pathway involved in spinal cord motor neuron cell fate specification,neuron,,,
positive regulation of long-term neuronal synaptic plasticity,neuron,,,
cerebellar neuron development,neuron,,,
pyramidal neuron development,neuron,,,
neuron projection guidance,neuron,,,
regulation of transcription from rna polymerase ii promoter involved in spinal cord motor neuron fate specification,neuron,,,
regulation of transcription from rna polymerase ii promoter involved in ventral spinal cord interneuron specification,neuron,,,
neuron projection maintenance,neuron,,,
neuron projection regeneration,neuron,,,
ventral spinal cord interneuron specification,neuron,,,
neuron recognition,neuron,,,
commitment of neuronal cell to specific neuron type in forebrain,neuron,,,
regulation of transcription from rna polymerase ii promoter involved in somatic motor neuron fate commitment,neuron,,,
noradrenergic neuron differentiation,neuron,,,
somatic motor neuron differentiation,neuron,,,
cerebral cortex neuron differentiation,neuron,,,
positive regulation of neuron projection arborization,neuron,,,
regulation of neuronal action potential,neuron,,,
negative regulation of motor neuron apoptotic process,neuron,,,
negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway,neuron,,,
negative regulation of neuron projection regeneration,neuron,,,
neuronal signal transduction,neuron,,,
regulation of neuron maturation,neuron,,,
neuron projection arborization,neuron,,,
neuron cellular homeostasis,neuron,,,
neuron remodeling,neuron,,,
negative regulation of oxidative stress-induced neuron death,neuron,,,
canonical wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,neuron,,,
spinal cord motor neuron cell fate specification,neuron,,,
regulation of transcription from rna polymerase ii promoter involved in forebrain neuron fate commitment,neuron,,,
neuron fate specification,neuron,,,
noradrenergic neuron development,neuron,,,
noradrenergic neuron fate commitment,neuron,,,
forebrain neuron differentiation,neuron,,,
cerebral cortex gabaergic interneuron differentiation,neuron,,,
subpallium neuron fate commitment,neuron,,,
regulation of timing of subpallium neuron differentiation,neuron,,,
ventral spinal cord interneuron fate commitment,neuron,,,
central nervous system interneuron axonogenesis,neuron,,,
cell morphogenesis involved in neuron differentiation,neuron,,,
negative regulation of neuron maturation,neuron,,,
peripheral nervous system neuron development,neuron,,,
peripheral nervous system neuron differentiation,neuron,,,
forebrain neuron fate commitment,neuron,,,
negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,neuron,,,
striatal medium spiny neuron differentiation,neuron,,,
negative regulation of forebrain neuron differentiation,neuron,,,
regulation of neuron projection arborization,neuron,,,
visceral motor neuron differentiation,neuron,,,
neuronal action potential propagation,neuron,,,
neuron death in response to oxidative stress,neuron,,,
regulation of short-term neuronal synaptic plasticity,neuron,,,
positive regulation of hippocampal neuron apoptotic process,neuron,,,
olfactory bulb interneuron differentiation,neuron,,,
negative regulation of hippocampal neuron apoptotic process,neuron,,,
hypothalamus gonadotrophin-releasing hormone neuron development,neuron,,,
dorsal spinal cord interneuron posterior axon guidance,neuron,,,
lateral motor column neuron migration,neuron,,,
non-canonical wnt signaling pathway involved in midbrain dopaminergic neuron differentiation,neuron,,,
cerebral cortex gabaergic interneuron development,neuron,,,
positive regulation of wnt-mediated midbrain dopaminergic neuron differentiation,neuron,,,
negative regulation of short-term neuronal synaptic plasticity,neuron,,,
olfactory bulb interneuron development,neuron,,,
neuronal dense core vesicle exocytosis,neuron,,,
corticospinal neuron axon guidance,neuron,,,
fasciculation of sensory neuron axon,neuron,,,
negative regulation of neuron remodeling,neuron,,,
cerebral cortex gabaergic interneuron fate commitment,neuron,,,
regulation of oxidative stress-induced neuron death,neuron,,,
fasciculation of motor neuron axon,neuron,,,
neuron projection fasciculation,neuron,,,
negative regulation of neuronal action potential,neuron,,,
ventral spinal cord interneuron fate determination,neuron,,,
regulation of motor neuron apoptotic process,neuron,,,
positive regulation of oxidative stress-induced neuron death,neuron,,,
peripheral nervous system neuron axonogenesis,neuron,,,
neuronal ion channel clustering,neuron,,,
planar cell polarity pathway involved in midbrain dopaminergic neuron differentiation,neuron,,,
chemoattraction of serotonergic neuron axon,neuron,,,
chemorepulsion of dopaminergic neuron axon,neuron,,,
chemorepulsion involved in postnatal olfactory bulb interneuron migration,neuron,,,
interneuron migration from the subpallium to the cortex,neuron,,,
neuron projection organization,neuron,,,
ventral spinal cord interneuron differentiation,neuron,,,
gabaergic neuron differentiation,neuron,,,
regulation of forebrain neuron differentiation,neuron,,,
regulation of timing of neuron differentiation,neuron,,,
corticospinal neuron axon guidance through spinal cord,neuron,,,
retrotrapezoid nucleus neuron differentiation,neuron,,,
regulation of midbrain dopaminergic neuron differentiation,neuron,,,
forebrain generation of neurons,neuron,,,
spinal cord motor neuron migration,neuron,,,
positive regulation of neuron projection regeneration,neuron,,,
interneuron axon guidance,neuron,,,
positive regulation of lateral motor column neuron migration,neuron,,,
positive regulation of dopaminergic neuron differentiation,neuron,,,
regulation of neuronal signal transduction,neuron,,,
pyramidal neuron differentiation,neuron,,,
embryonic olfactory bulb interneuron precursor migration,neuron,,,
neuron projection retraction,neuron,,,
negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway,neuron,,,
commissural neuron differentiation in spinal cord,neuron,,,
neutrophil degranulation,neutrophil,,,
neutrophil chemotaxis,neutrophil,,,
neutrophil aggregation,neutrophil,,,
negative regulation of neutrophil migration,neutrophil,,,
neutrophil activation involved in immune response,neutrophil,,,
negative regulation of neutrophil activation,neutrophil,,,
positive regulation of neutrophil chemotaxis,neutrophil,,,
neutrophil differentiation,neutrophil,,,
negative regulation of neutrophil apoptotic process,neutrophil,,,
positive regulation of neutrophil extravasation,neutrophil,,,
regulation of neutrophil migration,neutrophil,,,
neutrophil-mediated killing of gram-negative bacterium,neutrophil,,,
neutrophil activation,neutrophil,,,
neutrophil extravasation,neutrophil,,,
neutrophil homeostasis,neutrophil,,,
regulation of neutrophil chemotaxis,neutrophil,,,
neutrophil migration,neutrophil,,,
neutrophil mediated immunity,neutrophil,,,
neutrophil apoptotic process,neutrophil,,,
positive regulation of neutrophil apoptotic process,neutrophil,,,
neutrophil clearance,neutrophil,,,
neutrophil-mediated killing of gram-positive bacterium,neutrophil,,,
regulation of neutrophil mediated cytotoxicity,neutrophil,,,
positive regulation of neutrophil degranulation,neutrophil,,,
negative regulation of neutrophil degranulation,neutrophil,,,
positive regulation of neutrophil differentiation,neutrophil,,,
neutrophil-mediated killing of bacterium,neutrophil,,,
neutrophil-mediated killing of fungus,neutrophil,,,
regulation of neutrophil degranulation,neutrophil,,,
negative regulation of neutrophil chemotaxis,neutrophil,,,
negative regulation of neutrophil differentiation,neutrophil,,,
positive regulation of neutrophil activation,neutrophil,,,
regulation of neutrophil mediated killing of gram-negative bacterium,neutrophil,,,
regulation of neutrophil apoptotic process,neutrophil,,,
positive regulation of neutrophil mediated killing of gram-negative bacterium,neutrophil,,,
positive regulation of neutrophil mediated killing of fungus,neutrophil,,,
regulation of neutrophil extravasation,neutrophil,,,
regulation of neutrophil activation,neutrophil,,,
oligodendrocyte development,oligodendrocyte,,,
spinal cord oligodendrocyte cell differentiation,oligodendrocyte,,,
regulation of oligodendrocyte differentiation,oligodendrocyte,,,
oligodendrocyte differentiation,oligodendrocyte,,,
negative regulation of oligodendrocyte differentiation,oligodendrocyte,,,
positive regulation of oligodendrocyte progenitor proliferation,oligodendrocyte,,,
positive regulation of oligodendrocyte differentiation,oligodendrocyte,,,
oligodendrocyte cell fate specification,oligodendrocyte,,,
spinal cord oligodendrocyte cell fate specification,oligodendrocyte,,,
oligodendrocyte cell fate commitment,oligodendrocyte,,,
negative regulation of oligodendrocyte apoptotic process,oligodendrocyte,,,
oligodendrocyte apoptotic process,oligodendrocyte,,,
regulation of oligodendrocyte progenitor proliferation,oligodendrocyte,,,
negative regulation of oligodendrocyte progenitor proliferation,oligodendrocyte,,,
positive regulation of oligodendrocyte apoptotic process,oligodendrocyte,,,
oocyte maturation,oocyte,,,
oocyte development,oocyte,,,
